"noun_id";"noun";"noun_count"
825;"15h";8
826;"cinesesc";1
827;"sala";9
828;"recursos";1
829;"acessibilidade";3
830;"libras";2
831;"sessao";6
832;"menores";1
833;"espetaculos";1
834;"goiania";2
835;"opopular";1
836;"delicias";3
837;"podcast";31
838;"fila";7
839;"feminismo";4
840;"instagram";17
841;"kaiquecerveny";1
842;"luxiasubs";1
843;"mamma";2
844;"aventura";5
845;"olhada";3
846;"pecas";3
847;"anime";5
848;"pvc";4
849;"cm";8
850;"shopee";5
851;"sao";85
852;"sonic";1
853;"seriestwbz";1
854;"compilacao";3
855;"fases";1
856;"endlesshollow";1
857;"crash";3
858;"dlc";4
859;"mentalmachinery";1
860;"bilheteira";2
861;"animacoes";4
862;"iselu00";1
863;"maior";12
864;"series";8
865;"comentarios";22
866;"darrienm";1
867;"otulkas";1
868;"transformacao";3
869;"troca";6
870;"batalha";1
871;"cima";19
872;"ponte";3
873;"final";125
874;"lava";1
875;"versao";25
876;"arte";26
877;"inimigos";2
878;"spikes";1
879;"toupeiras";1
880;"thwomp";1
881;"boom";3
882;"oflowgames";1
883;"1x24";2
884;"reciclagem";2
885;"koopa";3
886;"prestes";1
887;"exibicoes";1
888;"salas";1
889;"recordes";3
890;"brasil247";1
891;"otan";1
892;"yoshi";2
893;"supermariobroslapelicula";1
894;"noticias";14
895;"slk";3
896;"mo";1
897;"filmasso";1
898;"nesgamergirl";3
899;"atras";36
900;"theindiemaniac";1
901;"rachaelcamui";1
902;"anmtv";1
903;"cinepop";1
904;"papagaio";2
905;"lakitu";1
906;"selva";2
907;"dkoldies";1
908;"voz";28
909;"spike";2
910;"h";12
911;"nextbestpicture";1
912;"rei";40
913;"rainyandhugo";2
914;"reizinho";2
915;"remake";2
916;"lugar";66
917;"dados";2
918;"informacoes";9
919;"zeldo";1
920;"cinemas";4
921;"ranking";3
922;"musicas";67
923;"oportunidade";11
924;"smash";1
925;"posicao";24
926;"erros";7
927;"ucm";1
928;"acertos";1
929;"hype";1
930;"herois";3
931;"thecarolos";1
932;"brunch";1
933;"lifestyleaominuto";1
934;"parcelhes";1
935;"sorrisinho";1
936;"carinha";1
937;"saudade";15
938;"nmrl";1
939;"fermainclancha1";1
940;"novo";43
941;"epoca";44
942;"top";30
943;"nostalgiafolder";1
944;"experimento";1
945;"sintese";2
946;"fm";1
947;"modelos";1
948;"onda";4
949;"ricoh";1
950;"tema";9
951;"famicom";1
952;"dk";1
953;"gosto";33
954;"pemilio";1
955;"poster";1
956;"rapadura";2
957;"ganda";1
958;"comedia";4
959;"psretro";1
960;"fixado";1
961;"papyrus";1
962;"batata";13
963;"ironmasterprod";1
964;"princesa";1
965;"fretrontmb";1
966;"gamesyouloved";1
967;"linksdefilmes";1
968;"hit";9
969;"videogames";3
970;"ambientacao";1
971;"diferencial";1
972;"reezybags";1
973;"retrogaming";1
974;"mariobros";1
975;"amigos";29
976;"wow";2
977;"semanas";8
978;"cartaz";2
979;"863mi";1
980;"boicote";2
981;"lacrate";1
982;"rapidinho";3
983;"fas";7
984;"fidelidade";4
985;"terra";10
986;"deriva";1
987;"velozes";1
988;"guardiansofthegalaxyvol3";1
989;"supermariobrosmovie";1
990;"iviermectina";1
991;"karite";1
992;"lindo";3
993;"skala";66
994;"simplismente";1
995;"pena";32
996;"reais";72
997;"torno";4
998;"unicas";1
999;"diferencas";1
1000;"textura";9
1001;"branco";8
1002;"volume";5
1003;"prepoohidratacao";1
1004;"pote";10
1005;"brilho";2
1006;"condicoes";10
1007;"tiktoks";1
1008;"cachos";2
1009;"real";28
1010;"creme";17
1011;"kakka";1
1012;"mascara";3
1013;"tonalizante";1
1014;"reconstrucao";1
1015;"hidratacao";10
1016;"produtos";19
1017;"datacenters";1
1018;"skalacosmeticos";1
1019;"poo";2
1020;"caju";2
1021;"thmadis";1
1022;"lauralvss";1
1023;"pacote";4
1024;"definicao";6
1025;"melhor";13
1026;"preco";22
1027;"dominacao";1
1028;"cronograma";1
1029;"capilar";1
1030;"coreanes";1
1031;"creminho";2
1032;"abacate";3
1033;"amandinha";1
1034;"mbl";2
1035;"inveja";3
1036;"remelexo";1
1037;"autoestima";1
1038;"manha";36
1039;"shortinho";2
1040;"esmalte";2
1041;"cabelinho";10
1042;"molho";4
1043;"gotejo";1
1044;"potao";5
1045;"padrasto";1
1046;"certo";8
1047;"bicha";10
1048;"cliente";18
1049;"conto";19
1050;"herbissimo";1
1051;"3h";4
1052;"desodorante";1
1053;"videos";14
1054;"cremes";8
1055;"saude";13
1056;"fios";2
1057;"inocencia";1
1058;"kg";5
1059;"bgl";1
1060;"hidratacaonutricao";1
1061;"juridico";3
1062;"senhores";3
1063;"shampoo";3
1064;"anticaspa";1
1065;"condicionador";1
1066;"meo";2
1067;"gallieribeiro";1
1068;"eudora";2
1069;"cafe";18
1070;"restauracao";1
1071;"amido";1
1072;"milho";4
1073;"qro";1
1074;"semana";100
1075;"cricacriss";1
1076;"potinho";1
1077;"verdades";1
1078;"composicao";3
1079;"clientes";6
1080;"day";3
1081;"gel";4
1082;"fio";5
1083;"troco";3
1084;"torcedor";36
1085;"vaga";16
1086;"personalidade";15
1087;"taecannabis";1
1088;"vinagre";1
1089;"maca";3
1090;"plastcfallz";1
1091;"vamo";14
1092;"loirinho";2
1093;"xurrasco";1
1094;"crlh";8
1095;"residuo";1
1096;"olivveiramanu";1
1097;"pseudoleitora";1
1098;"danos";11
1099;"desembaraca";1
1100;"luto";1
1101;"ratinha";1
1102;"salom";1
1103;"caralho";57
1104;"leiteruim";1
1105;"colecao";3
1106;"espinhas";4
1107;"seda";1
1108;"hidrofobia";1
1109;"porosidade";1
1110;"crediario";1
1111;"impacto";5
1112;"planeta";5
1113;"modas";1
1114;"brincadeira";14
1115;"fernandachaagas";1
1116;"manga";6
1117;"otimo";2
1118;"trem";6
1119;"festa";17
1120;"roupas";8
1121;"roupa";14
1122;"mimos";107
